age,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,annual_income_missing,join_year,join_month,join_day,join_weekday,tenure_days,education_encoded,gender_encoded,region_East,region_North,region_South,region_West,purpose_Business,purpose_Car,purpose_Education,purpose_Home,purpose_Other,good_credit,trans_kmeans,annual_income_scaled,loan_amount_scaled,debt_to_income,avg_monthly_trans,spending_income_ratio,high_credit_risk,loan_burden,spending_log,spending_sqrt,loan_boxcox,income_yj
59.0,0,43347.13,99011.8,693.4,2.0,58.0,20.2,1.0,0.0,2020,6,22,0,2103,2,1,0,0,0,1,0,0,0,0,1,0,3,-0.5705338107293221,-0.4570025641941416,2.2841604507084057,9.666666666666666,8756.12026,0,198023.6,3.054001181677967,4.494441010848846,-0.7454851732398771,-1.3619552338673087
49.0,1,64494.51,200534.22,600.2,5.0,50.0,101.54,1.0,0.0,2017,6,17,5,3204,0,0,0,0,1,0,0,0,1,0,0,0,3,-0.4466657207173883,-0.11477298596163496,3.109322328317413,8.333333333333334,65487.725454,0,1002671.1,4.630252966355554,10.076705810928491,0.28863392368878316,-0.6978855773066037
35.0,0,83022.82,162229.1,466.6,2.0,38.0,42.02,0.0,0.0,2018,1,22,0,2985,0,1,0,0,1,0,1,0,0,0,0,0,3,-0.3381385002839818,-0.24389860236976976,1.9540302292555947,6.333333333333333,34886.188964,1,324458.2,3.761665123839584,6.482283548256741,-0.006734817388806422,-0.30096715656132816
63.0,0,61682.03,210989.79,616.7,0.0,55.0,30.67,0.0,0.0,2019,11,21,3,2317,2,0,0,0,1,0,1,0,0,0,0,0,3,-0.46313946478387624,-0.07952751691863488,3.420603861393333,9.166666666666666,18917.878601,0,0.0,3.4553698605505483,5.538050198400155,0.3576061687293349,-0.7699497243597478
28.0,2,2236457.03,1283259.67,638.0,2.0,28.0,67.2,0.0,0.0,2020,6,12,4,2113,3,1,1,0,0,0,0,1,0,0,0,0,1,12.27532863177008,3.535067848162502,0.5737913372739499,4.666666666666667,1502899.12416,0,2566519.34,4.222444564849416,8.19756061276768,2.4024395010669357,3.4638061765485375
41.0,2,59038.01,249199.55,756.9,4.0,74.0,83.17,0.0,0.0,2015,4,29,2,3984,2,1,0,1,0,0,0,1,0,0,0,1,0,-0.4786264758156613,0.0492766432773622,4.221001859577905,12.333333333333334,49101.912917,0,996798.2,4.432838563223485,9.119758768739445,0.5786198943564528,-0.8413518548629606
59.0,0,70733.31,1136426.08,632.7,0.0,86.0,30.79,0.0,0.0,2019,5,12,6,2510,2,1,0,1,0,0,1,0,0,0,0,0,0,-0.41012274281816624,3.0400954314680937,16.06634950328118,14.333333333333334,21778.786149,0,0.0,3.459151774922711,5.548873759602033,2.2868273835898045,-0.5505603669765896
39.0,2,93155.54,167340.21,481.4,1.0,119.0,39.4,0.0,1.0,2018,10,8,0,2726,1,1,0,0,1,0,0,1,0,0,0,0,2,-0.27878738099517536,-0.22666917640061005,1.7963527450777879,19.833333333333332,36703.282759999995,1,167340.21,3.6988297849671046,6.276941930590086,0.03727650629629402,-0.1261547347151948
43.0,0,47988.19,97323.78,629.8399999999999,3.0,81.0,20.21,0.0,0.0,2022,7,2,5,1363,2,0,1,0,0,0,0,0,0,0,1,0,0,-0.5433493917691112,-0.4626928380533349,2.0280777415854176,13.5,9698.413199,0,291971.33999999997,3.0544727685765913,4.495553358597805,-0.7725544527312009,-1.1871940347493322
31.0,2,77854.08,39582.04,700.7,1.0,22.0,30.77,1.0,0.0,2022,8,13,5,1321,3,1,0,1,0,0,0,0,0,1,0,1,1,-0.3684137377634371,-0.6573388219316847,0.5084131749998406,3.6666666666666665,23955.700416,0,39582.04,3.4585224482814247,5.547071299343465,-2.3273584029207557,-0.40021061514227835
